question,response,source,tags,score,question_body
What is the quickest way to HTTP GET in Python?,"<p>Python 3:</p>

<pre><code>import urllib.request
contents = urllib.request.urlopen(""http://example.com/foo/bar"").read()
</code></pre>

<p>Python 2:</p>

<pre><code>import urllib2
contents = urllib2.urlopen(""http://example.com/foo/bar"").read()
</code></pre>

<p>Documentation for <a href=""https://docs.python.org/library/urllib.request.html"" rel=""noreferrer""><code>urllib.request</code></a> and <a href=""https://docs.python.org/tutorial/inputoutput.html#methods-of-file-objects"" rel=""noreferrer""><code>read</code></a>.</p>
",stackoverflow,"python,http,network-programming",774,"<p>What is the quickest way to HTTP GET in Python if I know the content will be a string? I am searching the documentation for a quick one-liner like:</p>

<pre><code>contents = url.get(""http://example.com/foo/bar"")
</code></pre>

<p>But all I can find using Google are <code>httplib</code> and <code>urllib</code> - and I am unable to find a shortcut in those libraries.</p>

<p>Does standard Python 2.5 have a shortcut in some form as above, or should I write a function <code>url_get</code>?</p>

<ol>
<li>I would prefer not to capture the output of shelling out to <code>wget</code> or <code>curl</code>.</li>
</ol>
"
Finding local IP addresses using Python&#39;s stdlib,"<pre><code>import socket
socket.gethostbyname(socket.gethostname())
</code></pre>

<p>This won't work always (returns <code>127.0.0.1</code> on machines having the hostname in <code>/etc/hosts</code> as <code>127.0.0.1</code>), a paliative would be what gimel shows, use <code>socket.getfqdn()</code> instead. Of course your machine needs a resolvable hostname.</p>
",stackoverflow,"python,network-programming,ip-address",749,"<p>How can I find local IP addresses (i.e. 192.168.x.x or 10.0.x.x) in Python platform independently and using only the standard library?</p>
"
Is it possible to disable the network in iOS Simulator?,"<p>I'm afraid not—the simulator shares whatever network connection the OS is using. I filed a <a href=""http://bugreport.apple.com"" rel=""noreferrer"">Radar bug report</a> about simulating network conditions a while back; you might consider doing the same.</p>
",stackoverflow,"ios,iphone,debugging,network-programming,ios-simulator",615,"<p>I am trying to debug some inconsistent behaviour I am seeing in an application that gets its primary data from the Internet.  I don't see the issues in the simulator, just on the device, so I'd like to reproduce the network and connectivity environment in the simulator.</p>
<p>Is there a way of disabling the network in the simulator?</p>
<p>(I am connecting to the Mac remotely to code, and there isn't any other choice right now, so disabling the OS network isn't an option).</p>
"
"Comparison of Android networking libraries: OkHTTP, Retrofit, and Volley","<blockquote>
  <p>I'm hoping someone can provide some concrete examples of best use cases for each.</p>
</blockquote>

<p>Use Retrofit if you are communicating with a Web service. Use the peer library Picasso if you are downloading images. Use OkHTTP if you need to do HTTP operations that lie outside of Retrofit/Picasso.</p>

<p>Volley roughly competes with Retrofit + Picasso. On the plus side, it is one library. On the minus side, it is <strike>one undocumented,</strike> an unsupported, ""throw the code over the wall and do an I|O presentation on it"" library.</p>

<p>EDIT - Volley is now officially supported by Google. Kindly refer <a href=""https://developer.android.com/training/volley/index.html"" rel=""noreferrer"">Google Developer Guide</a></p>

<blockquote>
  <p>From what I've read, seems like OkHTTP is the most robust of the 3</p>
</blockquote>

<p>Retrofit uses OkHTTP automatically if available. There is a <a href=""https://gist.github.com/JakeWharton/5616899"" rel=""noreferrer"">Gist from Jake Wharton</a> that connects Volley to OkHTTP.</p>

<blockquote>
  <p>and could handle the requirements of this project (mentioned above).</p>
</blockquote>

<p>Probably you will use none of them for ""streaming download of audio and video"", by the conventional definition of ""streaming"". Instead, Android's media framework will handle those HTTP requests for you.</p>

<p>That being said, if you are going to attempt to do your own HTTP-based streaming, OkHTTP should handle that scenario; I don't recall how well Volley would handle that scenario. Neither Retrofit nor Picasso are designed for that.</p>
",stackoverflow,"android,network-programming,retrofit,android-networking",597,"<p>Two-part question from an iOS developer learning Android, working on an Android project that will make a variety of requests from JSON to image to streaming download of audio and video:</p>
<ol>
<li><p>On iOS I have used the <a href=""https://github.com/AFNetworking/AFNetworking"" rel=""noreferrer"">AFNetworking</a> project extensively. Is there an equivalent library for Android?</p>
</li>
<li><p>I've read up on <a href=""http://square.github.io/okhttp/"" rel=""noreferrer"">OkHTTP</a> and <a href=""http://square.github.io/retrofit/"" rel=""noreferrer"">Retrofit</a> by Square, as well as <a href=""https://developers.google.com/live/shows/474338138"" rel=""noreferrer"">Volley</a> but dont yet have experience developing with them. I'm hoping someone can provide some concrete examples of best use cases for each. From what I've read, seems like OkHTTP is the most robust of the three, and could handle the requirements of this project (mentioned above).</p>
</li>
</ol>
"
Artificially create a connection timeout error,"<p>Connect to an existing host but to a port that is blocked by the firewall that simply drops TCP SYN packets. For example, www.google.com:81.</p>
",stackoverflow,"network-programming,connection,tcp",411,"<p>I've had a bug in our software that occurs when I receive a connection timeout. These errors are very rare (usually when my connection gets dropped by our internal network). How can I generate this kind of effect artificially so I can test our software? </p>

<p>If it matters the app is written in C++/MFC using CAsyncSocket classes.</p>

<p><strong>Edit:</strong></p>

<p>I've tried using a non-existent host, and I get the socket error:</p>

<blockquote>
  <p>WSAEINVAL (10022) Invalid argument</p>
</blockquote>

<p>My next attempt was to use <a href=""https://stackoverflow.com/questions/100841?sort=oldest#100859"">Alexander</a>'s suggestion of connecting to a different port, e.g. 81 (on my own server though). That worked great. Exactly the same as a dropped connection (60 second wait, then error). Thank you!</p>
"
Get local IP address,"<p>To get local Ip Address:</p>

<pre><code>public static string GetLocalIPAddress()
{
    var host = Dns.GetHostEntry(Dns.GetHostName());
    foreach (var ip in host.AddressList)
    {
        if (ip.AddressFamily == AddressFamily.InterNetwork)
        {
            return ip.ToString();
        }
    }
    throw new Exception(""No network adapters with an IPv4 address in the system!"");
}
</code></pre>

<p>To check if you're connected or not:</p>

<p><code>System.Net.NetworkInformation.NetworkInterface.GetIsNetworkAvailable();</code></p>
",stackoverflow,"c#,network-programming",392,"<p>In the internet there are several places that show you how to get an IP address. And a lot of them look like this example:</p>

<pre><code>String strHostName = string.Empty;
// Getting Ip address of local machine...
// First get the host name of local machine.
strHostName = Dns.GetHostName();
Console.WriteLine(""Local Machine's Host Name: "" + strHostName);
// Then using host name, get the IP address list..
IPHostEntry ipEntry = Dns.GetHostEntry(strHostName);
IPAddress[] addr = ipEntry.AddressList;

for (int i = 0; i &lt; addr.Length; i++)
{
    Console.WriteLine(""IP Address {0}: {1} "", i, addr[i].ToString());
}
Console.ReadLine();
</code></pre>

<p>With this example I get several IP addresses, but I'm only interested in getting the one that the router assigns to the computer running the program: the IP that I would give to someone if he wishes to access a shared folder in my computer for instance.</p>

<p>If I am not connected to a network and I am connected to the internet directly via a modem with no router then I would like to get an error. How can I see if my computer is connected to a network with C# and if it is then to get the LAN IP address. </p>
"
What is P99 latency?,"<p>It's <a href=""http://en.wikipedia.org/wiki/Percentile"" rel=""noreferrer"">99th percentile</a>. It means that 99% of the requests should be faster than given latency. In other words only 1% of the requests are expected to be slower.</p>
",stackoverflow,"web-services,network-programming,web-applications",358,"<p>What does P99 latency represent? I keep hearing about this in discussions about an application's performance but couldn't find a resource online that would talk about this.</p>
"
How do I get Flask to run on port 80?,"<p>So it's throwing up that error message because you have <code>apache2</code> running on port 80.</p>

<p>If this is for development, I would just leave it as it is on port 5000.</p>

<p>If it's for production either:</p>

<p><strong>Not Recommended</strong></p>

<ul>
<li>Stop <code>apache2</code> first; </li>
</ul>

<p>Not recommended as it states in the documentation:</p>

<blockquote>
  <p>You can use the builtin server during development, but you should use a full deployment option for production applications. (Do not use the builtin development server in production.)</p>
</blockquote>

<p><strong>Recommended</strong></p>

<ul>
<li>Proxy <code>HTTP</code> traffic through <code>apache2</code> to Flask.</li>
</ul>

<p>This way, <code>apache2</code> can handle all your static files (which it's very good at - much better than the debug server built into Flask) and act as a reverse proxy for your dynamic content, passing those requests to Flask.</p>

<p><a href=""http://flask.pocoo.org/docs/deploying/mod_wsgi/#configuring-apache"" rel=""noreferrer"">Here's a link</a> to the official documentation about setting up Flask with Apache + mod_wsgi.</p>

<p><strong>Edit 1 - Clarification for @Djack</strong></p>

<blockquote>
  <p>Proxy HTTP traffic to Flask through apache2</p>
</blockquote>

<p>When a request comes to the server on port 80 (<code>HTTP</code>) or port 443 (<code>HTTPS</code>) a web server like Apache or Nginx handles the connection of the request and works out what to do with it. In our case a request received should be configured to be passed through to Flask on the WSGI protocol and handled by the Python code. This is the ""dynamic"" part. </p>

<blockquote>
  <p>reverse proxy for dynamic content</p>
</blockquote>

<p>There are a few advantages to configuring your web server like the above; </p>

<ul>
<li>SSL Termination - The web server will be optimized to handle HTTPS requests with only a little configuration. Don't ""roll your own"" in Python which is probably very insecure in comparison.</li>
<li>Security - Opening a port to the internet requires careful consideration of security. Flask's development server is not designed for this and could have open bugs or security issues in comparison to a web server designed for this purpose. Note that a badly configured web server can also be insecure! </li>
<li>Static File Handling - It is possible for the builtin Flask web server to handle static files however this is not recommended; Nginx/Apache are much more efficient at handling static files like images, CSS, Javascript files and will only pass ""dynamic"" requests (those where the content is often read from a database or the content changes) to be handled by the Python code. </li>
<li>+more. This is bordering on scope for this question. If you want more info do some research into this area. </li>
</ul>
",stackoverflow,"python,network-programming,flask,port",353,"<p>I have a Flask server running through port 5000, and it's fine. I can access it at <a href=""http://example.com:5000"" rel=""noreferrer"">http://example.com:5000</a></p>

<p>But is it possible to simply access it at <a href=""http://example.com"" rel=""noreferrer"">http://example.com</a>? I'm assuming that means I have to change the port from 5000 to 80. But when I try that on Flask, I get this error message when I run it.</p>

<pre><code>Traceback (most recent call last):
  File ""xxxxxx.py"", line 31, in &lt;module&gt;
app.run(host=""0.0.0.0"", port=int(""80""), debug=True)
   File ""/usr/local/lib/python2.6/dist-packages/flask/app.py"", line 772, in run
run_simple(host, port, self, **options)
  File ""/usr/local/lib/python2.6/dist-packages/werkzeug/serving.py"", line 706, in run_simple
    test_socket.bind((hostname, port))
  File ""&lt;string&gt;"", line 1, in bind
socket.error: [Errno 98] Address already in use
</code></pre>

<p>Running <code>lsof -i :80</code> returns </p>

<pre><code>COMMAND   PID     USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
apache2   467     root    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
apache2  4413 www-data    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
apache2 14346 www-data    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
apache2 14570 www-data    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
apache2 14571 www-data    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
apache2 14573 www-data    3u  IPv4 92108840      0t0  TCP *:www (LISTEN)
</code></pre>

<p>Do I need to kill these processes first? Is that safe? Or is there another way to keep Flask running on port 5000 but have the main website domain redirect somehow?</p>
"
How to get a list of all valid IP addresses in a local network?,"<p>Install <strong>nmap</strong>,</p>

<pre><code>sudo apt-get install nmap
</code></pre>

<p>then</p>

<pre><code>nmap -sP 192.168.1.*
</code></pre>

<p>or more commonly</p>

<pre><code>nmap -sn 192.168.1.0/24
</code></pre>

<p>will scan the entire .1 to .254 range</p>

<p>This does a simple ping scan in the entire subnet to see which hosts are online. </p>
",stackoverflow,"linux,network-programming,ip,lan,nmap",352,"<p>Is there a way to get a list of all valid IP addresses in a local network?</p>

<p>I mean all IP addresses that each user is using in the network.</p>
"
When is it appropriate to use UDP instead of TCP?,"<p>This is one of my favorite questions. UDP is so misunderstood.</p>

<p>In situations where you really want to get a simple answer to another server quickly, UDP works best. In general, you want the answer to be in one response packet, and you are prepared to implement your own protocol for reliability or to resend. DNS is the perfect description of this use case. The costs of connection setups are way too high (yet, DNS
does support a TCP mode as well).</p>

<p>Another case is when you are delivering data that can be lost because newer data coming in will replace that previous data/state. Weather data, video streaming, a stock quotation service (not used for actual trading), or gaming data comes to mind.</p>

<p>Another case is when you are managing a tremendous amount of state and you want to avoid using TCP because the OS cannot handle that many sessions. This is a rare case today. In fact, there are now user-land TCP stacks that can be used so that the application writer may have finer grained control over the resources needed for that TCP state. Prior to 2003, UDP was really the only game in town.</p>

<p>One other case is for multicast traffic. UDP can be multicasted to multiple hosts whereas TCP cannot do this at all.</p>
",stackoverflow,"network-programming,tcp,udp",344,"<p>Since TCP guarantees packet delivery and thus can be considered ""reliable"", whereas UDP doesn't guarantee anything and packets can be lost. What would be the advantage of transmitting data using UDP in an application rather than over a TCP stream? In what kind of situations would UDP be the better choice, and why?</p>

<p>I'm assuming that UDP is faster since it doesn't have the overhead of creating and maintaining a stream, but wouldn't that be irrelevant if some data never reaches its destination?</p>
"
What is the difference between active and passive FTP?,"<p>Active and passive are the two modes that FTP can run in.</p>

<p>For background, FTP actually uses <em>two</em> channels between client and server, the command and data channels, which are actually <em>separate</em> TCP connections.</p>

<p>The command channel is for commands and responses while the data channel is for actually transferring files.</p>

<p>This separation of command information and data into separate channels a nifty way of being able to send commands to the server without having to wait for the current data transfer to finish. As per the RFC, this is only mandated for a subset of commands, such as quitting, aborting the current transfer, and getting the status.</p>

<hr>

<p>In <em>active</em> mode, the client establishes the command channel but the <em>server</em> is responsible for establishing the data channel. This can actually be a problem if, for example, the client machine is protected by firewalls and will not allow unauthorised session requests from external parties.</p>

<p>In <em>passive</em> mode, the client establishes <em>both</em> channels. We already know it establishes the command channel in active mode and it does the same here.</p>

<p>However, it then requests the server (on the command channel) to start <em>listening</em> on a port (at the servers discretion) rather than trying to establish a connection back to the client.</p>

<p>As part of this, the server also returns to the client the port number it has selected to listen on, so that the client knows how to connect to it.</p>

<p>Once the client knows that, it can then successfully create the data channel and continue.</p>

<p>More details are available in the RFC: <a href=""https://www.ietf.org/rfc/rfc959.txt"" rel=""noreferrer"">https://www.ietf.org/rfc/rfc959.txt</a></p>
",stackoverflow,"network-programming,ftp",341,"<p>Can someone tell me what is the difference between active and passive FTP?<br>
Which one is preferable?</p>
"
